0x0747:  20 | af=9240 bc=fb22 de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=88 lcdc=91 ly=92
0x073e:  03 | af=9240 bc=fb22 de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=82 lcdc=91 ly=92
0x073f:  78 | af=9240 bc=fb23 de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=78 lcdc=91 ly=92
0x0740:  b1 | af=fb40 bc=fb23 de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=76 lcdc=91 ly=92
0x0741:  28 | af=fb00 bc=fb23 de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=74 lcdc=91 ly=92
0x0743:  f0 | af=fb00 bc=fb23 de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=70 lcdc=91 ly=92
0x0745:  fe | af=9200 bc=fb23 de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=64 lcdc=91 ly=92
0x0747:  20 | af=9240 bc=fb23 de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=60 lcdc=91 ly=92
0x073e:  03 | af=9240 bc=fb23 de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=54 lcdc=91 ly=92
0x073f:  78 | af=9240 bc=fb24 de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=50 lcdc=91 ly=92
0x0740:  b1 | af=fb40 bc=fb24 de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=48 lcdc=91 ly=92
0x0741:  28 | af=ff00 bc=fb24 de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=46 lcdc=91 ly=92
0x0743:  f0 | af=ff00 bc=fb24 de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=42 lcdc=91 ly=92
0x0745:  fe | af=9200 bc=fb24 de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=36 lcdc=91 ly=92
0x0747:  20 | af=9240 bc=fb24 de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=32 lcdc=91 ly=92
0x073e:  03 | af=9240 bc=fb24 de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=26 lcdc=91 ly=92
0x073f:  78 | af=9240 bc=fb25 de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=22 lcdc=91 ly=92
0x0740:  b1 | af=fb40 bc=fb25 de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=20 lcdc=91 ly=92
0x0741:  28 | af=ff00 bc=fb25 de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=18 lcdc=91 ly=92
0x0743:  f0 | af=ff00 bc=fb25 de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=14 lcdc=91 ly=92
0x0745:  fe | af=9200 bc=fb25 de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=8 lcdc=91 ly=92
0x0747:  20 | af=9240 bc=fb25 de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=4 lcdc=91 ly=92
